,Name,Price,Recorded_On,Search_Word,Link,ISBN-10,ISBN-13,Language,Paperback,Publisher,Failed SS,Cards,Hardcover,Audio CD,File Size,Page Numbers Source ISBN,Print Length,Publication Date,Simultaneous Device Usage,Series,Diary,Age Range
100,Emotional-Intelligence-Effective-Awareness-Controlling,$17.38,2019-02-02,eat that frog,https://www.amazon.com/Emotional-Intelligence-Effective-Awareness-Controlling/dp/1977792421,1977792421,,English,118 pages,"CreateSpace Independent Publishing Platform (September 30, 2017)",,,,,,,,,,Emotional Intelligence Series (Book 5)<br/>,,
101,Emotional-Intelligence-Effective-Awareness-Controlling-ebook,$2.99,2019-02-02,eat that frog,https://www.amazon.com/Emotional-Intelligence-Effective-Awareness-Controlling-ebook/dp/B0769DGN1N,,,,,,True,,,,,,,,,,,
102,Gymtastic-Professional-Air-Track-20ft,$149.00,2019-02-02,eat that frog,https://www.amazon.com/Gymtastic-Professional-Air-Track-20ft/dp/B07J2YDGP3,,,,,,True,,,,,,,,,,,
103,Practical-Thinking-Four-Right-Wrong,$14.79,2019-02-02,eat that frog,https://www.amazon.com/Practical-Thinking-Four-Right-Wrong/dp/1785041118,,,,,,True,,,,,,,,,,,
104,Cognitive-Behavioral-Therapy-Retraining-Overcoming,$17.38,2019-02-02,eat that frog,https://www.amazon.com/Cognitive-Behavioral-Therapy-Retraining-Overcoming/dp/1978385528,1978385528,,English,86 pages,"CreateSpace Independent Publishing Platform (October 19, 2017)",,,,,,,,,,Cognitive Behavioral Therapy Series (Book 5)<br/>,,
105,Cognitive-Behavioral-Therapy-Retraining-Overcoming-ebook,$2.99,2019-02-02,eat that frog,https://www.amazon.com/Cognitive-Behavioral-Therapy-Retraining-Overcoming-ebook/dp/B077RF8KL6,,,,,,True,,,,,,,,,,,
106,Self-Discipline-Blueprint-Entrepreneurs-Procrastination-Addiction,$19.95,2019-02-02,eat that frog,https://www.amazon.com/Self-Discipline-Blueprint-Entrepreneurs-Procrastination-Addiction/dp/1731466366,1731466366,978-1731466365,English,148 pages,"Independently published (November 17, 2018)",,,,,,,,,,,,
107,Self-Discipline-Blueprint-Entrepreneurs-Procrastination-Addiction-ebook,$2.99,2019-02-02,eat that frog,https://www.amazon.com/Self-Discipline-Blueprint-Entrepreneurs-Procrastination-Addiction-ebook/dp/B07KMVZ539,,,,,,True,,,,,,,,,,,
108,Cognitive-Behavioral-Therapy-Manuscripts-Definitive,$25.38,2019-02-02,eat that frog,https://www.amazon.com/Cognitive-Behavioral-Therapy-Manuscripts-Definitive/dp/1974515214,1974515214,,English,232 pages,"CreateSpace Independent Publishing Platform (August 13, 2017)",,,,,,,,,,Cognitive Behavioral Therapy Series (Book 4)<br/>,,
109,Cognitive-Behavioral-Therapy-Manuscripts-Definitive-ebook,$4.99,2019-02-02,eat that frog,https://www.amazon.com/Cognitive-Behavioral-Therapy-Manuscripts-Definitive-ebook/dp/B075GHQXFJ,,,,,,True,,,,,,,,,,,
110,Self-Discipline-Jealousy-Anger-Management-Productivity,$23.99,2019-02-02,eat that frog,https://www.amazon.com/Self-Discipline-Jealousy-Anger-Management-Productivity/dp/1983552232,1983552232,978-1983552236,English,180 pages,"CreateSpace Independent Publishing Platform (January 5, 2018)",,,,,,,,,,,,
111,Self-Discipline-Jealousy-Anger-Management-Changes-ebook,$4.99,2019-02-02,eat that frog,https://www.amazon.com/Self-Discipline-Jealousy-Anger-Management-Changes-ebook/dp/B079YBCKVP,,,,,,True,,,,,,,,,,,
112,Optimize-Your-Productivity-Counterintuitive-Approach,$10.99,2019-02-02,eat that frog,https://www.amazon.com/Optimize-Your-Productivity-Counterintuitive-Approach/dp/1532708637,1532708637,,English,124 pages,"CreateSpace Independent Publishing Platform (April 15, 2016)",,,,,,,,,,Optimize Your Life Series (Book 2)<br/>,,
113,Optimize-Your-Productivity-Counterintuitive-Approach-ebook,$4.49,2019-02-02,eat that frog,https://www.amazon.com/Optimize-Your-Productivity-Counterintuitive-Approach-ebook/dp/B01B15OWMY,,,,,,,,,,725 KB,1532708637,126 pages,"April 17, 2016",Unlimited,,,
114,Stop-Procrastinating-Procrastination-Become-Productive,$7.99,2019-02-02,eat that frog,https://www.amazon.com/Stop-Procrastinating-Procrastination-Become-Productive/dp/1983611786,1983611786,978-1983611780,English,76 pages,"CreateSpace Independent Publishing Platform (January 6, 2018)",,,,,,,,,,,,
115,Stop-Procrastinating-Procrastination-Become-Productive-ebook,$2.99,2019-02-02,eat that frog,https://www.amazon.com/Stop-Procrastinating-Procrastination-Become-Productive-ebook/dp/B078SRT6LK,,,,,,True,,,,,,,,,,,
116,StickerTalk-Bumper-Sticker-Window-Stickers,$5.99,2019-02-02,eat that frog,https://www.amazon.com/StickerTalk-Bumper-Sticker-Window-Stickers/dp/B00G5M9832,,,,,,True,,,,,,,,,,,
117,Eat-Smart-Weight-Healthy-Mastering,$8.57,2019-02-02,eat that frog,https://www.amazon.com/Eat-Smart-Weight-Healthy-Mastering/dp/1520727550,1520727550,978-1520727554,English,63 pages,"Independently published (November 26, 2013)",,,,,,,,,,,,
118,Eat-Smart-Weight-Healthy-Mastering-ebook,$3.69,2019-02-02,eat that frog,https://www.amazon.com/Eat-Smart-Weight-Healthy-Mastering-ebook/dp/B076CWCFFG,,,,,,True,,,,,,,,,,,
119,Hisoul-Bowling-Tabletop-Novelty-Desktop,$8.90,2019-02-02,eat that frog,https://www.amazon.com/Hisoul-Bowling-Tabletop-Novelty-Desktop/dp/B07GV797Z3,,,,,,True,,,,,,,,,,,
120,Honeydukes-Sweetshop-Stainless-Stamped-Silverware,$16.00,2019-02-02,eat that frog,https://www.amazon.com/Honeydukes-Sweetshop-Stainless-Stamped-Silverware/dp/B015P9OL00,,,,,,True,,,,,,,,,,,
121,Sur-petition-Business-Formula-Competition-ebook,$9.99,2019-02-02,eat that frog,https://www.amazon.com/Sur-petition-Business-Formula-Competition-ebook/dp/B076B5P8K2,,,,,,True,,,,,,,,,,,
122,SHED-Method-groundbreaking-step-step-ebook,$9.99,2019-02-02,eat that frog,https://www.amazon.com/SHED-Method-groundbreaking-step-step-ebook/dp/B074Q5NR91,,,,,,True,,,,,,,,,,,
123,Better-Me-Sara-Milne-Rowe,$17.06,2019-02-02,eat that frog,https://www.amazon.com/Better-Me-Sara-Milne-Rowe/dp/0718183967,9780718183967,978-0718183967,English,338 pages,"Penguin UK (December 1, 2017)",,,,,,,,,,,,
124,Story-Brian-Tracy-Seven-Success-ebook,$2.99,2019-02-02,eat that frog,https://www.amazon.com/Story-Brian-Tracy-Seven-Success-ebook/dp/B00QYYF4LG,,,,,,True,,,,,,,,,,,
125,Frog-Cosmetic-Bag-Zip-top-Closer,$10.62,2019-02-02,eat that frog,https://www.amazon.com/Frog-Cosmetic-Bag-Zip-top-Closer/dp/B00DM9SE2C,,,,,,True,,,,,,,,,,,
126,Emotional-Intelligence-Effective-Awareness-Controlling,$17.38,2019-02-02,eat that frog,https://www.amazon.com/Emotional-Intelligence-Effective-Awareness-Controlling/dp/1977792421,1977792421,,English,118 pages,"CreateSpace Independent Publishing Platform (September 30, 2017)",,,,,,,,,,Emotional Intelligence Series (Book 5)<br/>,,
127,Emotional-Intelligence-Effective-Awareness-Controlling-ebook,$2.99,2019-02-02,eat that frog,https://www.amazon.com/Emotional-Intelligence-Effective-Awareness-Controlling-ebook/dp/B0769DGN1N,,,,,,True,,,,,,,,,,,
128,Cooking-Kitchen0-Polyester-Garden-Creative,$7.81,2019-02-02,eat that frog,https://www.amazon.com/Cooking-Kitchen0-Polyester-Garden-Creative/dp/B07MT8NHN5,,,,,,True,,,,,,,,,,,
129,Practical-Thinking-Four-Right-Wrong,$14.79,2019-02-02,eat that frog,https://www.amazon.com/Practical-Thinking-Four-Right-Wrong/dp/1785041118,9781785041112,978-1785041112,English,208 pages,"Random House UK (June 1, 2018)",,,,,,,,,,,,
130,Cognitive-Behavioral-Therapy-Retraining-Overcoming,$17.38,2019-02-02,eat that frog,https://www.amazon.com/Cognitive-Behavioral-Therapy-Retraining-Overcoming/dp/1978385528,1978385528,,English,86 pages,"CreateSpace Independent Publishing Platform (October 19, 2017)",,,,,,,,,,Cognitive Behavioral Therapy Series (Book 5)<br/>,,
131,Cognitive-Behavioral-Therapy-Retraining-Overcoming-ebook,$2.99,2019-02-02,eat that frog,https://www.amazon.com/Cognitive-Behavioral-Therapy-Retraining-Overcoming-ebook/dp/B077RF8KL6,,,,,,True,,,,,,,,,,,
132,Self-Discipline-Blueprint-Entrepreneurs-Procrastination-Addiction,$19.95,2019-02-02,eat that frog,https://www.amazon.com/Self-Discipline-Blueprint-Entrepreneurs-Procrastination-Addiction/dp/1731466366,1731466366,978-1731466365,English,148 pages,"Independently published (November 17, 2018)",,,,,,,,,,,,
133,Self-Discipline-Blueprint-Entrepreneurs-Procrastination-Addiction-ebook,$2.99,2019-02-02,eat that frog,https://www.amazon.com/Self-Discipline-Blueprint-Entrepreneurs-Procrastination-Addiction-ebook/dp/B07KMVZ539,,,,,,True,,,,,,,,,,,
134,Cognitive-Behavioral-Therapy-Manuscripts-Definitive,$25.38,2019-02-02,eat that frog,https://www.amazon.com/Cognitive-Behavioral-Therapy-Manuscripts-Definitive/dp/1974515214,,,,,,True,,,,,,,,,,,
135,Cognitive-Behavioral-Therapy-Manuscripts-Definitive-ebook,$4.99,2019-02-02,eat that frog,https://www.amazon.com/Cognitive-Behavioral-Therapy-Manuscripts-Definitive-ebook/dp/B075GHQXFJ,,,,,,True,,,,,,,,,,,
136,Self-Discipline-Jealousy-Anger-Management-Productivity,$23.99,2019-02-02,eat that frog,https://www.amazon.com/Self-Discipline-Jealousy-Anger-Management-Productivity/dp/1983552232,1983552232,978-1983552236,English,180 pages,"CreateSpace Independent Publishing Platform (January 5, 2018)",,,,,,,,,,,,
137,Self-Discipline-Jealousy-Anger-Management-Changes-ebook,$4.99,2019-02-02,eat that frog,https://www.amazon.com/Self-Discipline-Jealousy-Anger-Management-Changes-ebook/dp/B079YBCKVP,,,,,,,,,,1419 KB,1983552232,182 pages,"February 19, 2018",Unlimited,,,
138,Floating-Sticks-Aquatic-Turtles-Newts,$2.99,2019-02-02,eat that frog,https://www.amazon.com/Floating-Sticks-Aquatic-Turtles-Newts/dp/B075Z1BXCY,,,,,,True,,,,,,,,,,,
139,Focus-Sharpen-Become-Unstoppable-Build,$9.95,2019-02-02,eat that frog,https://www.amazon.com/Focus-Sharpen-Become-Unstoppable-Build/dp/1533258090,1533258090,978-1533258090,English,38 pages,"CreateSpace Independent Publishing Platform (May 14, 2016)",,,,,,,,,,,,
140,Focus-Sharpen-Become-Unstoppable-Through-ebook,$2.99,2019-02-02,eat that frog,https://www.amazon.com/Focus-Sharpen-Become-Unstoppable-Through-ebook/dp/B00PSZFEV2,,,,,"Success Life Publishing (November 17, 2014)",,,,,856 KB,,40 pages,"November 17, 2014",Unlimited,,,
141,Coolbis-Cartoon-Watermelons-Trucker-Adjustable,$5.59,2019-02-02,eat that frog,https://www.amazon.com/Coolbis-Cartoon-Watermelons-Trucker-Adjustable/dp/B07MY337ZG,,,,,,True,,,,,,,,,,,
142,Optimize-Your-Productivity-Counterintuitive-Approach,$10.99,2019-02-02,eat that frog,https://www.amazon.com/Optimize-Your-Productivity-Counterintuitive-Approach/dp/1532708637,,,,,,True,,,,,,,,,,,
143,Optimize-Your-Productivity-Counterintuitive-Approach-ebook,$4.49,2019-02-02,eat that frog,https://www.amazon.com/Optimize-Your-Productivity-Counterintuitive-Approach-ebook/dp/B01B15OWMY,,,,,,True,,,,,,,,,,,
144,effective-personal-workbook-leverage-collection,$44.99,2019-02-02,eat that frog,https://www.amazon.com/effective-personal-workbook-leverage-collection/dp/9123721480,,,,,,True,,,,,,,,,,,
145,Want-Live-Life-Bear-Funny,$13.95,2019-02-02,eat that frog,https://www.amazon.com/Want-Live-Life-Bear-Funny/dp/B07FP1FD4Y,,,,,,True,,,,,,,,,,,
146,Getting-things-effective-leverage-collection,$59.99,2019-02-02,eat that frog,https://www.amazon.com/Getting-things-effective-leverage-collection/dp/9123711027,,,,,,True,,,,,,,,,,,
147,habits-highly-effective-psychology-selling,$59.99,2019-02-02,eat that frog,https://www.amazon.com/habits-highly-effective-psychology-selling/dp/9123711019,,,,,,True,,,,,,,,,,,
148,Fractured-Fairy-Tales-Season,$2.99,2019-02-02,eat that frog,https://www.amazon.com/Fractured-Fairy-Tales-Season/dp/B00K4TKKAW,,,,,,True,,,,,,,,,,,
149,habits-highly-effective-psychology-selling,$59.99,2019-02-02,eat that frog,https://www.amazon.com/habits-highly-effective-psychology-selling/dp/9123711019,,,,,,True,,,,,,,,,,,
150,Fractured-Fairy-Tales-Season,$2.99,2019-02-02,eat that frog,https://www.amazon.com/Fractured-Fairy-Tales-Season/dp/B00K4TKKAW,,,,,,True,,,,,,,,,,,
151,habits-effective-excuses-leverage-collection,$59.99,2019-02-02,eat that frog,https://www.amazon.com/habits-effective-excuses-leverage-collection/dp/9123711000,,,,,,True,,,,,,,,,,,
152,habits-highly-effective-leverage-collection,$49.99,2019-02-02,eat that frog,https://www.amazon.com/habits-highly-effective-leverage-collection/dp/9123710985,,,,,,True,,,,,,,,,,,
153,Psychology-Selling-BRIAN-TRACY,$68.01,2019-02-02,eat that frog,https://www.amazon.com/Psychology-Selling-BRIAN-TRACY/dp/B01JNWPF28,,,,,,True,,,,,,,,,,,
154,habits-highly-effective-leverage-collection,$39.99,2019-02-02,eat that frog,https://www.amazon.com/habits-highly-effective-leverage-collection/dp/9123710977,,,,,,True,,,,,,,,,,,
155,Appetit-Vinyl-Lettering-Wall-Sticker,$16.99,2019-02-02,eat that frog,https://www.amazon.com/Appetit-Vinyl-Lettering-Wall-Sticker/dp/B015UL9A36,,,,,,True,,,,,,,,,,,
156,habits-highly-effective-leverage-collection,$59.99,2019-02-02,eat that frog,https://www.amazon.com/habits-highly-effective-leverage-collection/dp/9123710969,,,,,,True,,,,,,,,,,,
157,Organization-Theory-Selected-Classic-Readings-ebook,$12.49,2019-02-02,eat that frog,https://www.amazon.com/Organization-Theory-Selected-Classic-Readings-ebook/dp/B002XHNML2,,,,,,True,,,,,,,,,,,
158,Miracle-morning-effective-leverage-collection,$49.99,2019-02-02,eat that frog,https://www.amazon.com/Miracle-morning-effective-leverage-collection/dp/9123710950,,,,,,True,,,,,,,,,,,
159,FDRFE-Little-Organic-Cotton-T-Shirts,$28.35,2019-02-02,eat that frog,https://www.amazon.com/FDRFE-Little-Organic-Cotton-T-Shirts/dp/B07CGHBZ9Q,,,,,,True,,,,,,,,,,,
160,habits-highly-effective-leverage-collection,$39.99,2019-02-02,eat that frog,https://www.amazon.com/habits-highly-effective-leverage-collection/dp/9123710942,,,,,,True,,,,,,,,,,,
161,Material-Stretches-Learning-ValeforToy-Realistic,$9.97,2019-02-02,eat that frog,https://www.amazon.com/Material-Stretches-Learning-ValeforToy-Realistic/dp/B01KYYJXE0,,,,,,True,,,,,,,,,,,
162,maximum-achievement-effective-leverage-collection,$49.99,2019-02-02,eat that frog,https://www.amazon.com/maximum-achievement-effective-leverage-collection/dp/9123710934,,,,,,True,,,,,,,,,,,
163,Silicone-Placemat-Children-Highchair-Salbree,$9.90,2019-02-02,eat that frog,https://www.amazon.com/Silicone-Placemat-Children-Highchair-Salbree/dp/B01MEC42C1,,,,,,True,,,,,,,,,,,
164,friends-influence-effective-leverage-collection,$39.99,2019-02-02,eat that frog,https://www.amazon.com/friends-influence-effective-leverage-collection/dp/9123710926,,,,,,True,,,,,,,,,,,
165,habits-effective-compound-leverage-collection,$59.99,2019-02-02,eat that frog,https://www.amazon.com/habits-effective-compound-leverage-collection/dp/9123710918,,,,,,True,,,,,,,,,,,
166,bagshome-Zombies-Capacity-Canvas-Holder,$14.98,2019-02-02,eat that frog,https://www.amazon.com/bagshome-Zombies-Capacity-Canvas-Holder/dp/B07BPJXNQR,,,,,,True,,,,,,,,,,,
167,habits-effective-coaching-leverage-collection,$49.99,2019-02-02,eat that frog,https://www.amazon.com/habits-effective-coaching-leverage-collection/dp/912371090X,,,,,,True,,,,,,,,,,,
168,Froglube-Paste-Cleaner-Lubricant-Protectant,$19.99,2019-02-02,eat that frog,https://www.amazon.com/Froglube-Paste-Cleaner-Lubricant-Protectant/dp/B0053TX1GS,,,,,,True,,,,,,,,,,,
169,minute-manager-effective-leverage-collection,$39.99,2019-02-02,eat that frog,https://www.amazon.com/minute-manager-effective-leverage-collection/dp/9123710896,,,,,,True,,,,,,,,,,,
170,Handbook-Positive-Revolution-Principles-Personal-ebook,$10.99,2019-02-02,eat that frog,https://www.amazon.com/Handbook-Positive-Revolution-Principles-Personal-ebook/dp/B079YLJJVG,,,,,,True,,,,,,,,,,,
171,Handbook-Positive-Revolution-Principles-Personal,$18.95,2019-02-02,eat that frog,https://www.amazon.com/Handbook-Positive-Revolution-Principles-Personal/dp/1785041908,,,,,,True,,,,,,,,,,,
172,habits-effective-leverage-productivity-collection,$39.99,2019-02-02,eat that frog,https://www.amazon.com/habits-effective-leverage-productivity-collection/dp/9123710888,,,,,,True,,,,,,,,,,,
173,leverage-mindset-fucking-awesome-collection,$44.99,2019-02-02,eat that frog,https://www.amazon.com/leverage-mindset-fucking-awesome-collection/dp/9123687142,,,,,,True,,,,,,,,,,,
174,habits-effective-personal-workbook-collection,$39.99,2019-02-02,eat that frog,https://www.amazon.com/habits-effective-personal-workbook-collection/dp/9123675632,,,,,,True,,,,,,,,,,,
175,THAT-FROG-Telugu-BRIAN-TRACY,$6.50,2019-02-02,eat that frog,https://www.amazon.com/THAT-FROG-Telugu-BRIAN-TRACY/dp/8183223818,8183223818,978-8183223812,Telugu,128 pages,"Manjul Publishing House (January 1, 2013)",,,,,,,,,,,,
176,Eat-That-Frog-Cards-Procrastinating,$13.18,2019-02-02,eat that frog,https://www.amazon.com/Eat-That-Frog-Cards-Procrastinating/dp/7111573870,7111573870,978-7111573876,Chinese,166 pages,"China Machine Press; 1st edition (August 1, 2017)",,,,,,,,,,,,
177,Makoroni-Laptop-Sticker-Decal-4-5by4-5,$3.93,2019-02-02,eat that frog,https://www.amazon.com/Makoroni-Laptop-Sticker-Decal-4-5by4-5/dp/B07MML29LW,,,,,,True,,,,,,,,,,,
178,Procrastination-Illusion-Secret-Productivity-Society,$14.99,2019-02-02,eat that frog,https://www.amazon.com/Procrastination-Illusion-Secret-Productivity-Society/dp/1984067559,,,,,,True,,,,,,,,,,,
179,Procrastination-Illusion-Secret-Productivity-Society-ebook,$7.99,2019-02-02,eat that frog,https://www.amazon.com/Procrastination-Illusion-Secret-Productivity-Society-ebook/dp/B01AR7CSZA,,,,,"Back In The Basement Publishing (January 17, 2016)",,,,,2195 KB,,100 pages,"January 17, 2016",Unlimited,,,
180,YIYEZI-Waterproof-Moisturizing-ColorLip-gloss-Lipstick,$1.69,2019-02-02,eat that frog,https://www.amazon.com/YIYEZI-Waterproof-Moisturizing-ColorLip-gloss-Lipstick/dp/B07N7GY31N,,,,,,True,,,,,,,,,,,
181,Stop-Procrastinating-Procrastination-Become-Productive,$7.99,2019-02-02,eat that frog,https://www.amazon.com/Stop-Procrastinating-Procrastination-Become-Productive/dp/1983611786,1983611786,978-1983611780,English,76 pages,"CreateSpace Independent Publishing Platform (January 6, 2018)",,,,,,,,,,,,
182,Stop-Procrastinating-Procrastination-Become-Productive-ebook,$2.99,2019-02-02,eat that frog,https://www.amazon.com/Stop-Procrastinating-Procrastination-Become-Productive-ebook/dp/B078SRT6LK,,,,,,True,,,,,,,,,,,
183,HighlifeS-Squishies-Rising-Colorful-Reliever,$4.99,2019-02-02,eat that frog,https://www.amazon.com/HighlifeS-Squishies-Rising-Colorful-Reliever/dp/B07DZW9VQR,,,,,,True,,,,,,,,,,,
184,Steps-Financial-Freedom-Emmanuel-Emovon,$12.00,2019-02-02,eat that frog,https://www.amazon.com/Steps-Financial-Freedom-Emmanuel-Emovon/dp/197673570X,197673570X,978-1976735707,English,110 pages,"Independently published (December 27, 2017)",,,,,,,,,,,,
185,Sleepy-Garden-Indoor-Outdoor-Decorative,$8.45,2019-02-02,eat that frog,https://www.amazon.com/Sleepy-Garden-Indoor-Outdoor-Decorative/dp/B07N3XCTFP,,,,,,True,,,,,,,,,,,
186,Business-Tagebuch-Notizbuch-Paperblank-blanko,$9.57,2019-02-02,eat that frog,https://www.amazon.com/Business-Tagebuch-Notizbuch-Paperblank-blanko/dp/1794433783,1794433783,978-1794433786,German,120 pages,"Independently published (January 19, 2019)",,,,,,,,,,,,
187,Fraggle-Rock-Season-04,$2.99,2019-02-02,eat that frog,https://www.amazon.com/Fraggle-Rock-Season-04/dp/B07H51V51X,,,,,,True,,,,,,,,,,,
188,SMALLTALK-gewinnen-Beliebtheit-steigern-beeinflussen,$10.55,2019-02-02,eat that frog,https://www.amazon.com/SMALLTALK-gewinnen-Beliebtheit-steigern-beeinflussen/dp/1791885446,,,,,,True,,,,,,,,,,,
189,SMALLTALK-gewinnen-Beliebtheit-steigern-beeinflussen-ebook,$4.55,2019-02-02,eat that frog,https://www.amazon.com/SMALLTALK-gewinnen-Beliebtheit-steigern-beeinflussen-ebook/dp/B07LFNZ9WB,,,,,,True,,,,,,,,,,,
190,Time-Management-Tips-Skyrocket-Productivity,$7.97,2019-02-02,eat that frog,https://www.amazon.com/Time-Management-Tips-Skyrocket-Productivity/dp/1732769710,1732769710,978-1732769717,English,148 pages,"Radiant Hope, LLC (October 8, 2018)",,,,,,,,,,,,
191,Time-Management-Tips-Skyrocket-Productivity-ebook,$3.49,2019-02-02,eat that frog,https://www.amazon.com/Time-Management-Tips-Skyrocket-Productivity-ebook/dp/B07J5KHCSL,,,,,,True,,,,,,,,,,,
192,Aqueon-Goldfish-Food-Flakes-7-12-Ounce,$4.11,2019-02-02,eat that frog,https://www.amazon.com/Aqueon-Goldfish-Food-Flakes-7-12-Ounce/dp/B00176GUUU,,,,,,True,,,,,,,,,,,
193,Eat-Smart-Weight-Healthy-Mastering,$8.57,2019-02-02,eat that frog,https://www.amazon.com/Eat-Smart-Weight-Healthy-Mastering/dp/1520727550,1520727550,978-1520727554,English,63 pages,"Independently published (November 26, 2013)",,,,,,,,,,,,
194,Eat-Smart-Weight-Healthy-Mastering-ebook,$3.69,2019-02-02,eat that frog,https://www.amazon.com/Eat-Smart-Weight-Healthy-Mastering-ebook/dp/B076CWCFFG,,,,,,True,,,,,,,,,,,
195,Procrastinating-komforta-povysheniya-lichnoy-effektivnosti,$40.03,2019-02-02,eat that frog,https://www.amazon.com/Procrastinating-komforta-povysheniya-lichnoy-effektivnosti/dp/5916579055,,,,,,True,,,,,,,,,,,
196,That-Frog-Brian-Tracy-2006-12-30,$112.61,2019-02-02,eat that frog,https://www.amazon.com/That-Frog-Brian-Tracy-2006-12-30/dp/B019TMIK88,,,,,,True,,,,,,,,,,,
197,Textbook-Wisdom-Shortcuts-Becoming-Wiser-ebook,$12.99,2019-02-02,eat that frog,https://www.amazon.com/Textbook-Wisdom-Shortcuts-Becoming-Wiser-ebook/dp/B07GRKJYJ3,,,,,,True,,,,,,,,,,,
198,Textbook-Wisdom-Shortcuts-Becoming-Wiser,$24.95,2019-02-02,eat that frog,https://www.amazon.com/Textbook-Wisdom-Shortcuts-Becoming-Wiser/dp/1785041924,,,,,,True,,,,,,,,,,,
199,Do-Ditch-Bev-James-ebook,$9.99,2019-02-02,eat that frog,https://www.amazon.com/Do-Ditch-Bev-James-ebook/dp/B006H4CYYS,,,,,"Virgin Digital (December 15, 2011)",,,,,2092 KB,0753546221,322 pages,"December 15, 2011",,,,
200,Do-Ditch-Ideas-Action-Decisions,$16.59,2019-02-02,eat that frog,https://www.amazon.com/Do-Ditch-Ideas-Action-Decisions/dp/0753539993,0753539993,978-0753539996,English,290 pages,"Virgin Books (July 1, 2011)",,,,,,,,,,,,
201,Live-Assassin-Snails-Clea-helena,$7.95,2019-02-02,eat that frog,https://www.amazon.com/Live-Assassin-Snails-Clea-helena/dp/B0049RK7QW,,,,,,True,,,,,,,,,,,
